fecha,CO,NO,NO2,NOX,O3,PM10,PM25,SO2,anio,mes,anio_mes,estacion_anio,CO_outlier,NO_outlier,NO2_outlier,NOX_outlier,O3_outlier,PM10_outlier,PM25_outlier,SO2_outlier,evento_extremo,CO_filtrado,NO_filtrado,NO2_filtrado,NOX_filtrado,O3_filtrado,PM10_filtrado,PM25_filtrado,SO2_filtrado
2015-01-01,1.0506958250497018,22.76552795031056,24.225155279503102,46.98757763975155,23.1751497,105.57368421052632,78.95340501792114,11.55472263868066,2015,1,2015-01,Invierno,1,0,0,0,0,1,1,1,1,1.0617823865126592,22.567437487111057,25.023068868502943,47.58786450476044,24.114235204183853,106.79423881448224,79.8591973173955,11.537709610382832
2015-01-02,0.8075848303393214,32.24960753532182,21.554160125588695,53.80062794348509,17.268365817091453,36.687845303867405,15.44943820224719,1.8950524737631185,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,1.04446448417153,22.695956246019694,25.733969005258235,48.428215249422905,24.552521308706623,101.57918661557382,74.60675945011336,10.771419918598527
2015-01-03,0.6407554671968191,21.686915887850468,19.394080996884732,41.07165109034268,15.486486486486486,29.269021739130437,12.915129151291511,1.436936936936937,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,1.0270921365734669,22.827952712381965,26.414718877203224,49.24191708943131,24.9691369684778,96.40433639575176,69.39647193745198,10.015984367310642
2015-01-04,0.7269396551724138,24.606271777003485,19.56097561,44.16550522648084,17.329032258064515,39.96153846153846,16.83828382838284,1.809061488673139,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,1.0098738909859226,22.96246932775637,27.060616125672542,50.02329382780588,25.362316004607194,91.32755266665757,64.28138491670846,9.279512530095449
2015-01-05,0.5308151093439364,11.443181818181818,20.99025974025974,32.439935064935064,14.470588235294118,31.855643044619423,12.667774086378737,8.315789474,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.9930036872545692,23.09854992031402,27.667110126969778,50.76682157543934,25.730049286740435,86.40317637967172,59.311578460268095,8.569662120425612
2015-01-06,0.7489523809523809,27.977346278317157,23.24271844660194,51.213592233009706,12.902255639097744,40.321608040201006,21.11371237458194,4.024024024024024,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.9766547699678201,23.235238617788234,28.229830973804688,51.46715691758666,26.070033311394496,81.68061530848318,54.53295000759285,7.893456285615681
2015-01-07,0.4432539682539682,11.29711375212224,16.25976231,27.594227504244483,17.055130168453292,30.054597701149422,10.737642585551333,2.192546583850932,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.9609749853890532,23.37158298917581,28.74463986223744,52.119190729512496,26.379658641708556,77.20317658782544,49.98620411462293,7.257127110329499
2015-01-08,0.5335282651072125,10.527586206896553,21.62586206896552,32.15517241,19.15055467511886,33.31395348837209,14.501945525291829,1.9622331691297208,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.9460836806137769,23.506643252930274,29.20770232349306,52.71813091331546,26.656042482763947,73.00718075149113,45.70607650033587,6.665989878678618
2015-01-09,1.0945736434108526,41.795180722891565,32.526678141135974,74.28399311531841,19.4828125,55.18867924528302,29.08510638297872,2.781045751633987,2015,1,2015-01,Invierno,1,1,0,0,0,0,0,0,1,0.9320702880164805,23.639508156908594,29.61558308359623,53.25961343969853,26.896105797500244,69.1213773859644,41.72080787006708,6.124350955995416
2015-01-10,0.7707224334600761,23.455716586151368,27.468599033816425,50.9194847,22.68955223880597,39.798507462686565,24.07189542,2.559006211180124,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.9189945419562848,23.76931641477059,29.965358560765885,53.73983658649118,27.096691458356467,65.5666650315514,38.05186830946323,5.635450654602518
2015-01-11,0.9102880658436214,22.71080139372822,27.893728222996515,50.62369337979094,29.90342679127726,42.43535620052771,26.52117263843648,3.040268456375839,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.9068881506032962,23.895280940677647,30.25474040145428,54.15570901482771,27.254716338940373,62.35610256566955,34.71392041095874,5.201440931190311
2015-01-12,1.0654580152671755,27.37855946,38.01005025125628,65.42881072,34.562406015037595,62.43107769423559,34.350819672131145,2.8125,2015,1,2015-01,Invierno,1,0,0,0,0,0,0,0,1,0.8957576528984156,24.016712326816005,30.482201470811027,54.50499954009319,27.367347270166643,59.49518646399558,31.71499913796006,4.82339625710313
2015-01-13,1.1151923076923076,30.266101694915253,41.313559322033896,71.57796610169491,36.21688500727802,73.11638954869359,38.20307692307692,6.075471698113208,2015,1,2015-01,Invierno,1,0,1,0,0,0,0,0,1,0.8855881389540246,24.133038324087654,30.64709460650502,54.786475660626834,27.43218869049635,56.98235823089532,29.056879032870352,4.501354651990553
2015-01-14,1.0307116104868914,25.475165562913908,37.82947019867549,63.29966887417218,29.79885877318117,69.59,36.68597561,8.080952381,2015,1,2015-01,Invierno,1,0,0,0,0,0,0,0,1,0.8763474970916282,24.243816995339387,30.749754212375436,55.00001858192763,27.447468938041048,54.80969892604538,26.73559465153318,4.234384782736618
2015-01-15,1.0531598513011151,29.60655737704918,38.27540983606557,67.89508196721312,35.10481586402266,66.86904761904762,32.69512195121951,3.5376175548589344,2015,1,2015-01,Invierno,1,0,0,0,0,0,0,0,1,0.8679908654591842,24.348742192356134,30.791571486108005,55.14670417488833,27.41221262841917,52.96376352816804,24.742077887374304,4.020674296411981
2015-01-16,0.9312962962962964,22.717821782178216,36.24752475247525,58.96039603960397,32.616361071932296,63.411483253588514,29.79320987654321,4.170471841704718,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8604650067027994,24.447641053979414,30.77503584349337,55.22884212372084,27.326388161280484,51.426507373224574,23.062875941450923,3.857634280639887
2015-01-17,0.9756363636363636,20.87196110210697,38.37439222042139,59.27876823338736,36.39804469273743,72.25653206650831,38.90372670807454,3.9597014925373135,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8537123818133611,24.540464398343673,30.703737666584228,55.24996926123135,27.191021529616933,50.17625962877527,21.68091558589777,3.7420149121388016
2015-01-18,0.6382642998027613,7.528619528619528,25.395622895622896,32.93939393939394,36.294117647058826,51.01162790697674,28.7710843373494,8.309562398703404,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8476747602231414,24.627271932476745,30.582330315541807,55.21479695196734,27.00826986771949,49.188703370172966,20.5762822866968,3.6700277498888605
2015-01-19,1.0,29.52647975077881,34.28816199376947,63.78816199376947,25.28272980501393,66.25467289719626,30.23192771084337,8.218236173393125,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8422962551244879,24.708214648314048,30.41645193516952,55.1291154208649,26.781450533309865,48.43782709093631,19.726986163701547,3.637470530798686
2015-01-20,1.0971014492753624,30.5140625,38.378125,68.8953125,36.74444444444445,76.68925234,39.94940476190476,3.2436472346786247,2015,1,2015-01,Invierno,1,0,0,0,0,0,0,0,1,0.8375257085166792,24.78351621535042,30.212609672390418,54.99965945259418,26.515024048412133,47.89681781134573,19.109690548175305,3.6398507547745704
2015-01-21,0.9605893186003684,26.133545310015897,31.79650238473768,57.90143084260731,31.935211267605634,66.66826923076923,34.07575757575758,2.2628398791540785,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8333183711567785,24.85345375838669,29.978030400684794,54.83393994624927,26.214531798320643,47.53887123472778,18.700383062162086,3.672504986472097
2015-01-22,0.8385496183206107,28.78444084278768,25.925445705024316,54.72609400324149,22.92630057803468,52.65608465608466,22.56711409395973,1.5978260869565215,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8296368415991208,24.918336991260798,29.720483140922145,54.640045485796385,25.886491776760536,47.3378999763657,18.474973705405436,3.7307116513440164
2015-01-23,0.95651376146789,34.53208138,28.23630672926448,62.785602503912365,20.242977528089888,54.29216152019002,22.06153846153846,1.8328313253012047,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8264512605644261,24.97848418538951,29.448079432517,54.42641865662423,25.538257765649078,47.26912718207219,18.40980939903174,3.8097958511443895
2015-01-24,0.7814545454545455,21.79595015576324,26.33644859813084,48.11838006,20.29691877,52.30455635491607,23.678233438485805,5.785285285285285,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8237388018593855,25.034194061670274,29.16905892893867,54.201613464723714,25.177849047178594,47.30955952729686,18.48209948529558,3.9052250304246687
2015-01-25,0.8506903353057199,16.347386172006747,28.170320404721757,44.54300168634064,26.721884498480243,53.132558139534886,29.380239520958085,4.804054054054054,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8214825454291436,25.085713951765097,28.89156806462786,53.97404204301249,24.81375872275238,47.438339515040575,18.670251104083746,4.012694157419371
2015-01-26,0.7110707803992741,16.513385826771653,26.064566929133857,42.588976377952754,27.065734265734267,46.59004739336493,22.06441717791411,8.812111801242237,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,1,1,0.8196698509422186,25.133205884792233,28.62343954485105,53.75172004369781,24.45474868613201,47.63698136487493,18.954116696267196,4.128198721953442
2015-01-27,0.9153284671532846,34.18225806451613,30.51129032258065,64.71774193548387,20.079594790159188,55.36854460093897,22.696969696969692,10.47900466562986,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,1,1,0.8182903695589464,25.176712970478814,28.371979858971137,53.54202028162793,24.109638563727234,47.88949774601552,19.315158403325793,4.248093669393526
2015-01-28,0.7517045454545455,31.74317817014446,23.540930979133226,55.24879614767255,17.948275862068964,46.81927710843374,16.864516129032257,4.069444444444445,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8173338391242014,25.216128126626693,28.143771356419116,53.351443212926746,23.787095164859007,48.18242669998495,19.7365363959538,4.369136646528297
2015-01-29,0.7358633776091081,29.470304975922957,22.181380417335472,51.61797752808989,16.772334293948127,44.09560723514212,15.152482269503546,3.893188854489164,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.8167878073576681,25.251166216358993,27.944494839479475,53.18541127065171,23.495428504916358,48.5047696764149,20.203130271920088,4.48851470155844
2015-01-30,0.7791252485089464,21.82274247491639,29.396321070234112,51.2257525083612,23.74289985052317,54.14962593516209,24.633116883116884,9.70096463,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,1,1,0.8166354229207542,25.281340092840157,27.778778088471515,53.04809297780972,23.242399971514857,48.84785277956984,20.70150423656011,4.603854680987877
2015-01-31,0.7943181818181818,23.020061728395063,27.14351851851852,50.15277777777778,25.70258620689655,60.95035460992908,22.209150326797385,3.220679012345679,2015,1,2015-01,Invierno,0,0,0,0,0,0,0,0,0,0.816853426963695,25.30594155011569,27.65007508094346,52.94226260764869,23.03504726860077,49.20512409693245,21.219827494898823,4.713218654690069
2015-02-01,0.6677685950413224,15.957983193277313,19.85546218487395,35.8,22.205651491365774,37.80759493670886,15.084558823529411,1.4352941176470588,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.8174104660971885,25.324029295114563,27.560579824801305,52.86920143547193,22.879529459464344,49.57190046452018,21.747761276756933,4.815086526699626
2015-02-02,0.684629981,18.154559505409583,21.561051004636784,39.72179289026275,19.98273381294964,42.04822335025381,16.470588235294116,2.76625387,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.818265830769755,25.33442678520251,27.511177822057512,52.82864645092335,22.78099426226684,49.9450775321508,22.27632362868188,4.9083285320203425
2015-02-03,0.6461685823754789,17.509404388714735,19.50313479623825,36.97805642633229,12.566037735849056,31.726190476190474,10.975609756097562,2.925117004680187,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.8193687009219403,25.33573245896648,27.501437262106712,52.81879116505354,22.743469109025792,50.32281756795367,22.79774274253276,4.992170573168384
2015-02-04,0.970967741935484,40.13395638629284,24.799065420560748,64.95015576323988,20.32564841498559,43.91081081081081,17.55060728744939,2.452859350850077,2015,2,2015-02,Invierno,0,1,0,0,0,0,0,0,1,0.8206579517497651,25.326343493046856,27.529640857489305,52.836340567255206,22.76977714903116,50.704229377695945,23.30530884338919,5.066155202581392
2015-02-05,0.6477842003853564,19.78071539657854,22.995334370139968,42.77449455676516,25.65123010130246,49.07635467980296,20.223776223776223,6.048136645962733,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.8220625358994478,25.304492233050787,27.59285753251275,52.876618602388746,22.861478786214267,51.08905313480212,23.793233114033107,5.130100497218809
2015-02-06,0.7598165137614679,21.663009404388717,28.15830721003135,49.81974921630094,24.686502177068213,50.812796208530806,23.012861736334404,6.727699530516432,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.8235024205955571,25.268292700926473,27.68705109139742,52.93372271235898,23.018838197766982,51.47735983614461,24.256519810020965,5.184058305030178
2015-02-07,0.8903985507246377,35.06018518518518,33.18981481481482,68.24382716049382,25.25979680696662,56.06382978723404,24.951612903225808,8.913580247,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,1,1,0.8248900274103079,25.215793729918378,27.807220955886493,53.0007171028895,23.240812942559984,51.86927154845208,24.690855129894754,5.228272650105244
2015-02-08,0.9688492063492063,28.16554054054054,31.45439189189189,59.560810810810814,34.057432432432435,59.63231850117096,28.91025641025641,4.1891891891891895,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.8261321002813932,25.145035265718306,27.94756849397564,53.069854821439364,23.52506389582575,52.264705797670004,25.092514184665802,5.26313869451568
2015-02-09,0.7735294117647059,31.67546583850932,24.903726708074533,56.493788819875775,23.14909638554217,51.11111111111112,17.50836120401338,3.516535433070866,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.8271319119390619,25.05410475681296,28.10168164888364,53.13281831047319,23.867982722792384,52.66314601212815,25.458285944702094,5.289162682518429
2015-02-10,0.7948905109489051,26.84087363,31.32137285,58.09672386895476,29.15187969924812,55.93111111111112,22.63963963963964,3.3837753510140405,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.827791712536778,24.941191254483055,28.26273058654757,53.180968810952685,24.264734880246948,53.06343982074955,25.785415315472125,5.306923628109961
2015-02-11,0.903846153846154,27.642248722316864,33.83986371379898,61.44633730834753,29.22762951,63.35877863,27.444108761329304,2.883797054,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.828015329391029,24.804636043614806,28.423667641189404,53.20559675130814,24.709317454402573,53.463627786263935,26.071561137705647,5.317037830078308
2015-02-12,0.6210325047801147,9.867226890756305,25.564705882352943,35.34957983193277,21.16341829085457,29.64089775561097,17.0,2.762520193861066,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.827710837198795,24.642980192014257,28.577425526547916,53.198167503270426,25.194632682436904,53.86080626826278,26.314768438147706,5.320127304609186
2015-02-13,0.8254901960784313,16.555555555555557,32.0034188,48.48547008547008,19.632970451010888,50.46621621621622,33.47878787878788,4.688118811881188,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.8267932240130426,24.45501078013867,28.71710840523181,53.15055887169595,25.712579438707877,54.25102907379735,26.513452441359735,5.316792835915936
2015-02-14,0.978,21.99650959860384,37.85863874,59.79057591623037,12.434782608695652,65.26666666666667,43.21428571428572,12.705192629815745,2015,2,2015-02,Invierno,0,0,0,0,0,0,1,1,1,0.8251869749501068,24.239808078374594,28.836171043040697,53.055287810080316,26.25416598558357,54.62925286134236,26.666390867829733,5.307591700033334
2015-02-15,1.0277083333333334,22.956190476190475,31.826666666666668,54.815238095238094,22.77533783783784,56.50971922,39.00925925925926,7.205985915492958,2015,2,2015-02,Invierno,1,0,0,0,0,0,0,0,1,0.8228284852834276,23.996795139476706,28.928582000288934,52.90572376376059,26.809647503047533,54.98933052397154,26.772720375627447,5.293019480623171
2015-02-16,0.7401904761904762,25.706422018348626,21.288073394495413,47.02935779816514,21.147286821705425,36.39872068230277,17.048571428571428,3.2721417069243155,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.8196682062429214,23.725789393098378,28.988967707260404,52.6962850420032,27.368690949461445,55.324055325015046,26.8319333244091,5.273495102488124
2015-02-17,0.7270718232044199,22.423280423280424,25.09700176366843,47.55555555555556,19.061493411420205,34.05701754385965,14.658385093167702,1.6870109546165883,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.8156724323014238,23.427053740665944,29.01273538239369,52.422613630761035,27.920567698269142,55.62525729732467,26.84387273340971,5.249348467149977
2015-02-18,1.0018248175182485,32.89579831932773,34.43361344537815,67.30420168067226,30.949127906976745,56.05040322580645,26.966767371601208,4.586956521739131,2015,2,2015-02,Invierno,1,0,0,0,0,0,0,0,1,0.8108246595432107,23.10134319231372,28.996173779785618,52.08172342493105,28.454371675160317,55.88395241550056,26.80872567393671,5.220810680645627
2015-02-19,0.8291280148423006,22.57894736842105,33.01018675721562,55.55857385398981,32.983231707317074,56.55828220858896,29.74571428571429,12.729133858267716,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,1,1,0.8051264681205975,22.749942537074606,28.936531176706286,51.67211673782592,28.959258031497242,56.09054321109962,26.727016838706316,5.188007302794315
2015-02-20,0.9561111111111112,31.003401360544217,33.52891156462585,64.53401360544218,32.17109144542773,60.29707112970711,29.11143695014663,3.290734824,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.7985978975646351,22.37469078020649,28.832069819576397,51.19386400705756,29.42469519324755,56.23506627500976,26.599603822621237,5.150955058680741
2015-02-21,0.8624761904761905,22.219895287958117,30.87609075,53.10645724,37.45142002989537,57.22150537634408,30.689969604863222,2.546063652,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.7912772969693356,21.977988962665066,28.682095913783023,50.64864237419767,29.84072177617193,56.307478573547826,26.427674470389476,5.109562318989973
2015-02-22,0.71659751,13.647619047619049,25.952380952380956,39.57904761904762,36.07980456026058,50.00451467268623,25.88753799392097,1.7751371115173675,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.7832206530171094,21.56278930292622,28.486964761659593,50.03973066532956,30.198199603733574,56.297972205271996,26.212745825563992,5.063633757718434
2015-02-23,0.7014678899082569,29.99642857142857,25.74642857142857,55.760714285714286,24.822021116138764,55.18029350104822,16.895522388059703,3.993322203672788,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.774500427768925,21.132565012517233,28.248061717097084,49.371960777340334,30.489054841068562,56.197306474795525,25.95666430577863,5.012879853750225
2015-02-24,0.8428030303030303,24.363138686131386,32.32846715328467,56.68978102189781,30.81152647975078,68.35564853556485,27.839285714285715,7.083752093802345,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.7652039654384171,20.69126120981594,27.967760664944496,48.651627589845916,30.706500665479172,55.997146164177984,25.661607319629162,4.9569319059911665
2015-02-25,0.7644283121597096,21.23550724637681,27.89855072463768,49.15036231884058,32.258646616541355,60.97540983606557,25.190751445086704,2.949748743718593,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.7554315432214785,20.2432279572215,27.649362312397315,47.88636070527722,30.845236341161588,55.690394893593464,25.33008692037061,4.895362821490167
2015-02-26,0.6163339382940108,16.37043795620438,23.71897810218978,40.10401459854015,31.95508982035928,50.04291845493562,19.975155279503102,2.032520325203252,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.7452941444069167,19.793136907823037,27.297014719997534,47.08496192489082,30.9016185188419,55.271512543082366,24.964955882608713,4.827713373650498
2015-02-27,0.6957875457875458,21.07744107744108,25.993265993265997,47.09090909090909,24.45217391304348,50.911949685534594,20.095522388059702,7.964401294498382,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.7349110289928135,19.345883725659277,26.91561851114257,46.257213062247395,30.873800903682938,54.73680633912415,24.569415945866524,4.753523202010165
2015-02-28,0.6841240875912409,21.37751677852349,24.213087248322147,45.56879194630873,27.954876273653568,48.37344398340249,21.35207100591716,2.0268456375838926,2015,2,2015-02,Invierno,0,0,0,0,0,0,0,0,0,0.7244071722399458,18.906479206689866,26.510719229220403,45.413659494472746,30.761838394764357,54.084686323320824,24.147027212969927,4.672365550060715
2015-03-01,0.6461386138613862,11.927893738140416,24.11764705882353,36.020872865275145,41.52425665101721,51.75211864,23.81179775280899,3.310091743119266,2015,3,2015-03,Invierno,0,0,0,0,0,0,0,0,0,0.7139106324110688,18.479932513647448,26.088389203991664,44.56537523633858,30.5677516058805,53.31587671083265,23.70171685692913,4.583884496811607
2015-03-02,0.7634057971014493,19.706086956521737,28.417391304347827,48.13913043478261,36.324675324675326,59.921108742004265,25.388101983002837,4.642361111111111,2015,3,2015-03,Invierno,0,0,0,0,0,0,0,0,0,0.7035498930446076,18.07113008095052,25.655100897399617,43.72371507922986,30.295547341598045,52.433574473170765,23.237784267485235,4.487833201109281
2015-03-03,0.8846938775510204,22.49907235621521,31.176252319109462,53.667903525046384,40.5490506329114,71.93887530562347,33.209150326797385,7.659133709981168,2015,3,2015-03,Invierno,0,0,0,0,0,0,0,0,0,0.6934512065006331,17.684713699309654,25.217593137665034,42.90005873218681,29.951190385636945,51.44354559986978,22.75989871767557,4.384111457591718
2015-03-04,0.8401904761904762,18.06914893617021,32.498226950354606,50.5372340425532,45.948484848484846,70.56599552572708,31.62613981762918,3.095076400679117,2015,3,2015-03,Invierno,0,0,0,0,0,0,0,0,0,0.6837359524100095,17.324961148120593,24.78273123258263,42.105551342811644,29.54252250085008,50.35414890556704,22.273085004462015,4.272800658473597
2015-03-05,0.5989010989010989,16.17361111111111,21.68576388888889,37.83854166666666,28.141802067946823,70.83298097251586,22.457971014492752,3.394088669950739,2015,3,2015-03,Invierno,0,0,0,0,0,0,0,0,0,0.6745180257831571,16.99567264559371,24.357362040899545,41.35084476410825,29.079126312934132,49.176278137429534,21.782692774100962,4.154194135332612
2015-03-06,0.6240773286467487,10.388007054673722,23.682539682539684,34.042328042328045,30.14744525547445,63.82067510548523,28.545961002785518,6.749185667752443,2015,3,2015-03,Invierno,0,0,0,0,0,0,0,0,0,0.6659012890643513,16.70006654068195,23.94816586927428,40.64584487386163,28.572134625492993,47.92321629304985,21.294346563719333,4.028820907122612
2015-03-07,0.692,18.441739130434783,23.961739130434783,42.41913043478261,27.34388489208633,56.74734607218684,25.74715909090909,9.655948553054662,2015,3,2015-03,Invierno,0,0,0,0,0,0,0,1,1,0.6579771530672622,16.440688019362312,23.561508317607466,39.9994718534867,28.0339890431609,46.61040141105557,20.813875700857192,3.8974610439938893
